source,	target,	weight
georgia	tennessee	1809
tennessee	tennessee	3883
tennessee	virginia	2558
pennsylvania	tennessee	557
georgia	virginia	2069
georgia	pennsylvania	247
georgia	georgia	2001
pennsylvania	virginia	879
virginia	virginia	10590
hessen	prussia	8
hessen	hessen	6
espana	napoli,napoli,campania,italia,europe	87
california	oregon	124
massachusetts	virginia	657
italia	sardegna	79
italia	napoli,napoli,campania,italia,europe	243
europe,	italia	768
italia	italia	694
italia	turkiye	84
italia	rossiya	241
austria	italia	330
italia	prussia	131
italia	sicilia	60
italia	torino,torino,piemonte,italia,europe	190
napoli,napoli,campania,italia,europe	sardegna	70
europe,	sardegna	73
sardegna	turkiye	12
rossiya	sardegna	30
austria	sardegna	37
prussia	sardegna	17
sardegna	sardegna	14
sardegna	sicilia	15
sardegna	torino,torino,piemonte,italia,europe	20
napoli,napoli,campania,italia,europe	napoli,napoli,campania,italia,europe	244
europe,	napoli,napoli,campania,italia,europe	244
napoli,napoli,campania,italia,europe	turkiye	31
napoli,napoli,campania,italia,europe	rossiya	59
austria	napoli,napoli,campania,italia,europe	105
napoli,napoli,campania,italia,europe	prussia	34
napoli,napoli,campania,italia,europe	sicilia	58
napoli,napoli,campania,italia,europe	torino,torino,piemonte,italia,europe	59
europe,	europe,	3652
europe,	turkiye	207
europe,	rossiya	968
austria	europe,	500
europe,	prussia	351
europe,	sicilia	49
europe,	torino,torino,piemonte,italia,europe	89
rossiya	turkiye	142
austria	turkiye	54
prussia	turkiye	37
sicilia	turkiye	6
torino,torino,piemonte,italia,europe	turkiye	10
austria	rossiya	286
prussia	rossiya	224
rossiya	sicilia	13
rossiya	torino,torino,piemonte,italia,europe	41
austria	prussia	224
austria	sicilia	27
austria	torino,torino,piemonte,italia,europe	38
prussia	sicilia	7
prussia	torino,torino,piemonte,italia,europe	27
sicilia	torino,torino,piemonte,italia,europe	5
nihon	zhonghua	45
nihon	virginia	16
virginia	zhonghua	35
zhonghua	zhonghua	153
massachusetts	tennessee	366
,	,	959
bermuda	dupuy	3
espana	france	1600
espana	suriyah	29
france	napoli,napoli,campania,italia,europe	271
france	suriyah	63
napoli,napoli,campania,italia,europe	suriyah	21
europe,	virginia	814
scotland	virginia	26
delaware	missouri	386
delaware	kentucky	417
kentucky	missouri	2560
rossiya	rossiya	770
canada	europe	39
sverige	sverige,europe	5
,	california	111
africa,	africa,	55
africa	africa,	90
kansas	kansas	407
minnesota	minnesota	51
california	california	196
nubia	prussia	2
genova,genova,liguria,italia,europe	genova,genova,liguria,italia,europe	26
europe,	maine	121
georgia	illinois	152
ohio	virginia	384
hannover	virginia	6
hannover	ohio	22
europe,	france	4687
torino,torino,piemonte,italia,europe	torino,torino,piemonte,italia,europe	18
kentucky	kentucky	6914
jawa	sicilia	32
jawa	malaga	4
malaga	sicilia	8
sicilia	sicilia	19
illinois	wisconsin	181
illinois	missouri	606
missouri	wisconsin	151
arkansas	arkansas	546
france	sicilia	54
france	sardegna	104
france	italia	1037
france	prussia	450
france	torino,torino,piemonte,italia,europe	147
france	france	4459
kansas	pennsylvania	184
nihon	nihon	31
texas	texas	1164
austria	france	759
france	rossiya	1343
italia	piedmont	23
italia	lombardy	31
lombardy	piedmont	4
kentucky	maine	295
maine	vermont	175
maine	mississippi	80
maine	michigan	102
connecticut	maine	174
maine	pennsylvania	276
maine	missouri	284
illinois	maine	234
maine	wisconsin	93
california	maine	82
maine	maryland	262
kentucky	vermont	301
kentucky	mississippi	891
kentucky	michigan	207
connecticut	kentucky	285
kentucky	pennsylvania	864
illinois	kentucky	672
kentucky	wisconsin	157
california	kentucky	257
kentucky	maryland	2215
mississippi	vermont	98
michigan	vermont	103
connecticut	vermont	162
pennsylvania	vermont	261
missouri	vermont	249
illinois	vermont	214
vermont	wisconsin	90
california	vermont	82
maryland	vermont	270
michigan	mississippi	74
connecticut	mississippi	82
mississippi	pennsylvania	227
mississippi	missouri	612
illinois	mississippi	173
mississippi	wisconsin	69
california	mississippi	86
maryland	mississippi	442
connecticut	michigan	89
michigan	pennsylvania	187
michigan	missouri	199
illinois	michigan	195
michigan	wisconsin	104
california	michigan	84
maryland	michigan	191
connecticut	pennsylvania	264
connecticut	missouri	263
connecticut	illinois	199
connecticut	wisconsin	81
california	connecticut	67
connecticut	maryland	272
missouri	pennsylvania	673
illinois	pennsylvania	531
pennsylvania	wisconsin	161
